Dataset,Global EF (ef),Total Latency (ms),Noise Tax (ms),Noise Tax %
tiny5m-384-euclidean,2000,11730.674025,3317.988178,28.284718942226338
tiny5m-384-euclidean,2400,13825.278848,4288.566192,31.019744622513674
tiny5m-384-euclidean,2800,15936.881499,5618.849441,35.25689415054363
tiny5m-384-euclidean,3200,17887.183506,6804.62136,38.04188265702919
tiny5m-384-euclidean,3600,20037.002432,8243.893537,41.14334748911408
tiny5m-384-euclidean,4000,22159.024153,9674.79186,43.660730694632946
tiny5m-384-euclidean,4400,24117.781335,11008.475401,45.644643875365
tiny5m-384-euclidean,4800,26129.541673,12394.963758,47.43659078723098
tiny5m-384-euclidean,5200,28175.708438,14010.099135,49.724035034749534
word2vec-300-angular,100,477.855535,0.0,0.0
word2vec-300-angular,200,851.215898,30.119478,3.5384064220097544
word2vec-300-angular,300,1202.996349,138.269422,11.493752422020027
word2vec-300-angular,400,1541.918031,280.616345,18.19917397411899
word2vec-300-angular,500,1870.983459,460.137026,24.593324103780866
word2vec-300-angular,600,2194.293917,642.06634,29.260726424371708
word2vec-300-angular,700,2506.48739,834.50398,33.29376334903485
word2vec-300-angular,800,2814.994712,1049.724374,37.29045633816451
word2vec-300-angular,1000,3419.599772,1437.869339,42.04788381299495
word2vec-300-angular,1200,4017.975321,1844.928828,45.91687804445825
